iter	Logloss
121	0.4190993877
122	0.4178981959
123	0.4169965512
124	0.4161081096
125	0.4151424824
126	0.4143542181
127	0.4129731568
128	0.4117309031
129	0.4109027891
130	0.4100543509
131	0.4087038025
132	0.4078829205
133	0.4067447038
134	0.4056202708
135	0.4045906336
136	0.4038495687
137	0.4030823589
138	0.4023711852
139	0.4015372105
140	0.4002709666
141	0.3995695273
142	0.3987755166
143	0.3976734974
144	0.3970689448
145	0.3959475857
146	0.3950696538
147	0.3942391998
148	0.3929645926
149	0.3920754082
150	0.391199149
151	0.3905310109
152	0.3893603357
153	0.3887116546
154	0.3881383491
155	0.3870333295
156	0.3860364658
157	0.3852379468
158	0.3841567294
159	0.3831211422
160	0.382446739
161	0.3818739668
162	0.3809900975
163	0.3800737506
164	0.379367936
165	0.3789434136
166	0.3778979739
167	0.3768756019
168	0.3759663567
169	0.3754232687
170	0.3744378693
171	0.3730981855
172	0.3723208387
173	0.3718536157
174	0.3714022797
175	0.3705239799
176	0.3699400803
177	0.3689504148
178	0.3683556227
179	0.3675014802
180	0.3667937422
181	0.3655497653
182	0.3646535671
183	0.3634130247
184	0.3627815589
185	0.3621497455
186	0.3609895486
187	0.3600339018
188	0.359535613
189	0.358609106
190	0.3579699229
191	0.3574329345
192	0.3568739164
193	0.3560530047
194	0.3552236731
195	0.3541407622
196	0.3533845602
197	0.3521464249
198	0.3516250089
199	0.3510982676
200	0.3504093081
201	0.3499558435
202	0.3495258702
203	0.3487808723
204	0.347820807
205	0.3470697945
206	0.3466231301
207	0.3461526309
208	0.3456842822
209	0.3446527673
210	0.343875322
211	0.3431372534
212	0.3425856044
213	0.3419846336
214	0.3411706513
215	0.3403894827
216	0.3395541398
217	0.3390977189
218	0.3382696616
219	0.337673968
220	0.3369985238
221	0.3363971017
222	0.3361187996
223	0.3352903125
224	0.3344105509
225	0.3339498232
226	0.3333658604
227	0.3328048231
228	0.3322551792
229	0.3317482165
230	0.3312778679
231	0.3306532689
232	0.3300428595
233	0.3295400221
234	0.3290811354
235	0.3286656405
236	0.3281083656
237	0.3275963518
238	0.3272995189
239	0.3263834537
240	0.325917471
241	0.3250509862
242	0.3248313225
243	0.3239914008
244	0.3233839668
245	0.3228804854
246	0.3226044209
247	0.3221306606
248	0.3214788611
249	0.3210281866
250	0.3206502874
251	0.3200888883
252	0.3195901611
253	0.3189582593
254	0.3185437617
255	0.3180602628
256	0.3175764304
257	0.3171567207
258	0.3165027723
259	0.3159003423
